Symbol,Year,Month,Open,High,Low,Close,Volume
ENKA.CL,2020,11,7.300000190734863,7.699999809265137,7.289999961853027,7.289999961853027,32100000
ENKA.CL,2020,12,7.289999961853027,11.75,7.289999961853027,11.75,195241190
ENKA.CL,2021,1,11.75,13.100000381469727,11.399999618530273,11.399999618530273,119059444
ENKA.CL,2021,2,11.399999618530273,13.0,10.710000038146973,13.0,57737258
ENKA.CL,2021,3,13.0,15.899999618530273,13.0,15.399999618530273,162406611
ENKA.CL,2021,4,15.399999618530273,15.739999771118164,14.529999732971191,15.119999885559082,36734161
ENKA.CL,2021,5,14.850000381469727,16.299999237060547,14.550000190734863,15.0,76803585
ENKA.CL,2021,6,15.0,15.399999618530273,14.600000381469727,14.600000381469727,13562838
ENKA.CL,2021,7,14.600000381469727,14.600000381469727,13.699999809265137,14.0,28335066
ENKA.CL,2021,8,14.100000381469727,17.15999984741211,13.699999809265137,17.0,113177697
ENKA.CL,2021,9,17.25,24.200000762939453,16.0,23.549999237060547,130979561
ENKA.CL,2021,10,23.0,24.75,20.899999618530273,24.75,58627565
ENKA.CL,2021,11,24.75,25.469999313354492,21.5,22.200000762939453,24035775
ENKA.CL,2021,12,22.200000762939453,22.200000762939453,20.0,20.420000076293945,10956339
ENKA.CL,2022,1,20.420000076293945,27.280000686645508,20.420000076293945,27.18000030517578,69194392
ENKA.CL,2022,2,27.190000534057617,27.190000534057617,25.799999237060547,26.200000762939453,32155539
ENKA.CL,2022,3,26.200000762939453,26.829999923706055,24.0,24.0,1311473902
ENKA.CL,2022,4,24.0,25.0,23.0,24.0,43240964
ENKA.CL,2022,5,24.0,24.59000015258789,21.010000228881836,22.799999237060547,20075428
ENKA.CL,2022,6,23.899999618530273,24.0,20.0,20.100000381469727,9911857
ENKA.CL,2022,7,20.100000381469727,21.489999771118164,20.100000381469727,21.489999771118164,5579822
ENKA.CL,2022,8,21.489999771118164,21.489999771118164,18.0,19.0,26483507
ENKA.CL,2022,9,19.0,27.0,19.0,25.5,51187888
ENKA.CL,2022,10,27.790000915527344,35.0,25.0,31.5,39590464
ENKA.CL,2022,11,31.799999237060547,32.0,28.100000381469727,29.700000762939453,39510853
ENKA.CL,2022,12,28.8799991607666,30.0,20.940000534057617,25.299999237060547,23898714
ENKA.CL,2023,1,25.010000228881836,25.010000228881836,22.889999389648438,22.989999771118164,2864005
ENKA.CL,2023,2,23.700000762939453,23.899999618530273,21.0,21.5,12192729
ENKA.CL,2023,3,21.440000534057617,23.5,20.010000228881836,23.440000534057617,20850345
ENKA.CL,2023,4,23.049999237060547,23.59000015258789,21.329999923706055,22.020000457763672,9873430
ENKA.CL,2023,5,22.020000457763672,22.020000457763672,19.969999313354492,20.0,4089282
ENKA.CL,2023,6,19.989999771118164,21.0,19.0,20.489999771118164,12849539
ENKA.CL,2023,7,20.489999771118164,20.489999771118164,19.43000030517578,19.5,4177894
ENKA.CL,2023,8,19.5,19.5,17.5,19.0,11534528
ENKA.CL,2023,9,20.0,20.0,18.200000762939453,18.200000762939453,309244
ENKA.CL,2023,10,18.200000762939453,18.200000762939453,18.200000762939453,18.200000762939453,1192986
ENKA.CL,2023,11,18.200000762939453,18.200000762939453,18.0,18.0,1619639
ENKA.CL,2023,12,18.0,18.299999237060547,17.0,17.0,10387909
ENKA.CL,2024,1,17.0,18.399999618530273,16.0,16.0,25573914
ENKA.CL,2024,2,16.0,16.0,16.0,16.0,171685370
ENKA.CL,2024,3,16.0,16.700000762939453,16.0,16.0,31082104
ENKA.CL,2024,4,16.0,19.0,16.0,18.200000762939453,102149077
ENKA.CL,2024,5,18.200000762939453,18.5,16.0,16.899999618530273,74183364
ENKA.CL,2024,6,16.899999618530273,17.0,15.800000190734863,15.800000190734863,66054123
ETB.CL,2020,1,259.0,274.0,250.0,258.0,11734211
ETB.CL,2020,2,260.0,269.0,242.0,246.0,62804004
ETB.CL,2020,3,246.0,246.0,169.0,177.0,11917522
ETB.CL,2020,4,177.0,229.0,175.0,218.0,14153180
ETB.CL,2020,5,218.0,218.0,190.0,190.0,24204517
ETB.CL,2020,6,200.0,220.0,193.0,213.0,15384555
ETB.CL,2020,7,220.0,224.0,200.0,200.0,37288539
ETB.CL,2020,8,209.0,215.0,199.0,212.0,10401595
ETB.CL,2020,9,212.0,215.0,202.0,211.0,5963235
ETB.CL,2020,10,206.0,211.0,192.0,199.89999389648438,5033448
ETB.CL,2020,11,199.89999389648438,215.0,197.0,210.0,36935778
ETB.CL,2020,12,213.89999389648438,220.0,210.0,217.0,13807244
ETB.CL,2021,1,217.0,218.1999969482422,200.0,210.0,24942161
ETB.CL,2021,2,210.0,248.0,205.0,226.0,23363543
ETB.CL,2021,3,230.0,239.0,211.10000610351562,221.0,7113336
ETB.CL,2021,4,221.0,222.0,211.10000610351562,218.0,2118927
ETB.CL,2021,5,210.0,218.0,197.0,208.0,7733433
ETB.CL,2021,6,210.89999389648438,213.0,199.89999389648438,208.89999389648438,2283912
ETB.CL,2021,7,208.89999389648438,208.89999389648438,193.0,194.0,3212264
ETB.CL,2021,8,194.0,204.89999389648438,180.6999969482422,202.0,3842319
ETB.CL,2021,9,202.0,202.10000610351562,192.0,200.0,5650031
ETB.CL,2021,10,200.0,201.8000030517578,194.0,201.0,7223243
ETB.CL,2021,11,201.0,201.0,189.5,194.8000030517578,2659658
ETB.CL,2021,12,192.0,193.89999389648438,185.0,190.0,3897616
ETB.CL,2022,1,194.8000030517578,195.89999389648438,186.0,189.89999389648438,4419152
ETB.CL,2022,2,187.0,188.0,180.0,180.0,4273736
ETB.CL,2022,3,182.3000030517578,192.0,180.0,181.0,25009256
ETB.CL,2022,4,184.89999389648438,184.89999389648438,177.0,177.0,3102562
ETB.CL,2022,5,175.0,180.0,151.0,152.5,7101877
ETB.CL,2022,6,161.0,170.0,147.0,170.0,6475867
ETB.CL,2022,7,170.0,170.0,145.3000030517578,169.0,2576248
ETB.CL,2022,8,169.0,169.0,148.10000610351562,148.10000610351562,858990
ETB.CL,2022,9,148.10000610351562,148.10000610351562,135.0,144.0,1668019
ETB.CL,2022,10,144.0,144.0,101.0,118.0,2438807
ETB.CL,2022,11,118.0,120.0,101.0,120.0,11900701
ETB.CL,2022,12,120.0,125.0,102.83000183105469,119.69999694824219,1528169
ETB.CL,2023,1,119.69999694824219,119.69999694824219,106.0,108.0,842553
ETB.CL,2023,2,109.88999938964844,118.69999694824219,107.0999984741211,107.0999984741211,195531
ETB.CL,2023,3,107.0999984741211,120.0,104.7699966430664,105.4800033569336,1497299
